Gene	go_all
Mle_000059	GO:0016021;GO:0005886;GO:0016500
Mle_000062	GO:0005634;GO:0043565;GO:0010172;GO:0009957;GO:0048859;GO:0000122;GO:0045026;GO:0045944;GO:0003677;GO:0003677;GO:0006355
Mle_000063	GO:0005737;GO:0005524;GO:0009374;GO:0004075;GO:0003677;GO:0046872;GO:0004736;GO:0006094;GO:0006090;GO:0003824;GO:0005524;GO:0046872;GO:0005524;GO:0008716
Mle_000064	GO:0005737;GO:0016020;GO:0005654;GO:0005524;GO:0016301;GO:0046872;GO:0004697;GO:0035556;GO:0007205;GO:0006468;GO:0035556
Mle_000065	GO:0005769;GO:0005783;GO:0005768;GO:0070062;GO:0005615;GO:0005794;GO:0031985;GO:0005887;GO:0034362;GO:0016020;GO:0005641;GO:0055037;GO:0005802;GO:0030306;GO:0001540;GO:0030169;GO:0004888;GO:0008203;GO:0006869;GO:1902960;GO:1902430;GO:0043407;GO:1902963;GO:1902997;GO:0050768;GO:1901215;GO:0032091;GO:0032460;GO:1902948;GO:1902771;GO:1902955;GO:2001137;GO:1902953;GO:0045732;GO:0070863;GO:1902966;GO:0006892;GO:0051604;GO:0045053;GO:0006605;GO:0000042;GO:0006622;GO:0006898;GO:0014910
Mle_000069	GO:0003964
Mle_000070	GO:0003964;GO:0006313;GO:0035556;GO:0005515
Mle_000071	GO:0008239;GO:0004175;GO:0008236;GO:0051603;GO:0008236;GO:0006508;GO:0016787
Mle_000084	GO:0005829;GO:0005096;GO:0046982;GO:0090630;GO:0061024;GO:0032484;GO:0060178;GO:0032880;GO:0051056
Mle_000085	GO:0005634;GO:0004519;GO:0003676;GO:0008233;GO:0003964;GO:0015074;GO:0006313
Mle_000088	GO:0000930;GO:0005874;GO:0005816;GO:0005525;GO:0003924;GO:0031122;GO:0007020;GO:0003924
Mle_000089	GO:0005737;GO:0070062;GO:0005576;GO:0005615;GO:0019898;GO:0030670;GO:0042589;GO:0048306;GO:0005044;GO:0008329;GO:0035375;GO:0044267;GO:0051607;GO:0030855;GO:0043152;GO:0045087;GO:0007275;GO:0015031;GO:0016032;GO:0005044;GO:0016020;GO:0016020
Mle_000090	GO:0005634;GO:0003677;GO:0046872;GO:0003700;GO:0006355;GO:0006351
Mle_000092	GO:0005737;GO:0005654;GO:0003677;GO:0005515
Mle_000093	GO:0032541;GO:0005789;GO:0016021;GO:0005246;GO:0032237;GO:0035584;GO:0051533
Mle_000097	GO:0030014;GO:0005737;GO:0016020;GO:0005634;GO:0031047;GO:0006355;GO:0006417;GO:0006351;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515
Mle_000098	GO:0005829;GO:0030250;GO:0005088;GO:0007190;GO:0031152;GO:0006935;GO:0043407;GO:0010628;GO:0043547;GO:0051897;GO:0007265;GO:0030587;GO:0005085;GO:0007264
Mle_000104	GO:0003914;GO:0003677;GO:0000166;GO:0006281;GO:0009411;GO:0004930;GO:0007186;GO:0016021
Mle_000106	GO:0000235;GO:0005737;GO:0005871;GO:1990752;GO:0035371;GO:0005634;GO:0005524;GO:0008574;GO:0019894;GO:0003774;GO:0051301;GO:0007019;GO:0007018;GO:0000278;GO:0000070;GO:0051302;GO:0003777;GO:0005524;GO:0008017;GO:0007018
Mle_000113	GO:0071013;GO:0070062;GO:0030529;GO:0016020;GO:0005730;GO:0005654;GO:0005634;GO:0050681;GO:0005524;GO:0004004;GO:0030331;GO:0044822;GO:0036002;GO:0003724;GO:0003713;GO:0003712;GO:0007623;GO:0001701;GO:0072332;GO:0006397;GO:0009299;GO:0000122;GO:0043517;GO:0033148;GO:0045944;GO:0045893;GO:0000381;GO:0060765;GO:0045667;GO:2001014;GO:0010501;GO:0008380;GO:0003676;GO:0005524;GO:0003676;GO:0005524;GO:0008026;GO:0016818;GO:0006139
Mle_000120	GO:0005858;GO:0005930;GO:0005737;GO:0005874;GO:0036157;GO:0005524;GO:0016887;GO:0003777;GO:0042384;GO:0003341;GO:0007368;GO:0007507;GO:0021670;GO:0036158;GO:0030317;GO:0005524;GO:0005524;GO:0016887
Mle_000123	GO:0005615
Mle_000125	NA;GO:0007157;GO:0009405;GO:0016021
Mle_000127	GO:0003964;GO:0006313;GO:0005515;GO:0042981;GO:0016021
Mle_000128	GO:0005901;GO:0030054;GO:0043197;GO:0005887;GO:0032809;GO:0043204;GO:0044853;GO:0045211;GO:0042383;GO:0030315;GO:0008076;GO:0005250;GO:0046872;GO:0005249;GO:0086001;GO:0071456;GO:0071805;GO:0051260;GO:0005216;GO:0006811;GO:0055085;GO:0016020
Mle_000129	GO:0005509;GO:0005509;GO:0005509;GO:0007165;GO:0005578;GO:0005509;GO:0005509;GO:0005509;GO:0005509
Mle_000140	GO:0030054;GO:0032839;GO:0008328;GO:0032983;GO:0016020;GO:0043025;GO:0043204;GO:0014069;GO:0045211;GO:0042734;GO:0045202;GO:0043195;GO:0005234;GO:0004970;GO:0015277;GO:0001662;GO:0006874;GO:0060079;GO:0060080;GO:0006886;GO:0050804;GO:0043524;GO:0051967;GO:0051402;GO:0019228;GO:0043525;GO:0050806;GO:0043113;GO:0046328;GO:0048169;GO:0042391;GO:0048172;GO:0007268;GO:0035249;GO:0004970;GO:0016020;GO:0004970;GO:0005234;GO:0016020
Mle_000142	GO:0005829;GO:0005730;GO:0003677;GO:0003729;GO:0008494;GO:0008270;GO:2000767;GO:0003676;GO:0008270;GO:0006948
Mle_000146	GO:0045177;GO:0009986;GO:0032591;GO:0005783;GO:0005925;GO:0034678;GO:0008305;GO:0043204;GO:0005886;GO:0014069;GO:0046872;GO:0007420;GO:0030030;GO:0007160;GO:0045184;GO:0030198;GO:0042472;GO:0007229;GO:0001822;GO:0007613;GO:0048333;GO:0001656;GO:2000721;GO:0030511;GO:0016337;GO:0048745;GO:0034446
Mle_000153	GO:0005634;GO:0044822;GO:0003723;GO:0000398;GO:0003723;GO:0003723
Mle_000158	GO:0016021;GO:0005765;GO:0006810;GO:0055085;GO:0016021
Mle_000159	GO:0034451;GO:0005814;GO:0005813;GO:0036064;GO:0005737;GO:0016020;GO:0031965;GO:0000242;GO:0043234;GO:0051297;GO:0042384;GO:0031122;GO:0022027;GO:0035735;GO:0034453;GO:0034454;GO:0050768;GO:0001764;GO:0097150;GO:0035058;GO:0090316;GO:0071539
Mle_000161	GO:0000785;GO:0005694;GO:0032133;GO:0000775;GO:0030496;GO:0005634;GO:0005524;GO:0035175;GO:0035174;GO:0046872;GO:0004674;GO:0009838;GO:0034644;GO:0036089;GO:0043987;GO:0043988;GO:0051256;GO:0002903;GO:0032466;GO:0000122;GO:0032467;GO:0034501;GO:0006468;GO:0051225;GO:0031577;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468
Mle_000163	GO:0017183
Mle_000168	GO:0016324;GO:0034707;GO:0005737;GO:0070062;GO:0005886;GO:0005227;GO:0005254;GO:0005229;GO:0015111;GO:0005247;GO:0006812;GO:0034605;GO:1902476;GO:0006821;GO:0050965;GO:0015705;GO:0034220;GO:0007275;GO:0007200;GO:0035774
Mle_000170	GO:0005887;GO:0044224;GO:0008076;GO:0005251;GO:0005249;GO:0019228;GO:0071805;GO:0051260;GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0051260
Mle_000171	GO:0016021;GO:0005743;GO:0005739;GO:0015075;GO:0030218;GO:0055072;GO:0006826;GO:0015075;GO:0006811;GO:0055085;GO:0016020
Mle_000172	GO:0070062;GO:0000139;GO:0042803;GO:0010634;GO:0010718;GO:0070374
Mle_000175	GO:0004190;GO:0004519;GO:0003676;GO:0003964;GO:0015074;GO:0015074
Mle_000176	GO:0005737;GO:0005829;GO:0070062;GO:0005730;GO:0016787;GO:0045944
Mle_000177	GO:0005737;GO:0005524;GO:0004828;GO:0000122;GO:0097056;GO:0006434;GO:0006412;GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0055085;GO:0016021
Mle_000180	GO:0005576;GO:0006958;GO:0045087
Mle_000185	NA;GO:0045454;GO:0016209;GO:0016491;GO:0055114;GO:0005515;GO:0016491
Mle_000187	NA
Mle_000188	GO:0008180;GO:0005737;GO:0008231;GO:0016922;GO:0035257;GO:0042803;GO:0003714;GO:0010388;GO:0036099;GO:0007281;GO:0048142;GO:0048140;GO:0007095;GO:0007275;GO:0045892;GO:0022008;GO:0006909;GO:0050821;GO:0051726;GO:0005515
Mle_000190	GO:0005789;GO:0070062;GO:0032580;GO:0016021;GO:0005509;GO:0004382;GO:0004871;GO:0045134;GO:0043123;GO:0030166;GO:0005509;GO:0016462
Mle_000193	GO:0005663;GO:0005634;GO:0005524;GO:0003689;GO:0007049;GO:0006260;GO:0005524;GO:0009378;GO:0006281;GO:0006310;GO:0005524;GO:0016301;GO:0005524;GO:0016887
Mle_000194	GO:0005576;GO:0016491
Mle_000197	GO:0070062;GO:0005887;GO:0007166;GO:0016021
Mle_000198	GO:0005829;GO:0005634;GO:0005942;GO:0046935;GO:0001678;GO:0032869;GO:0008286;GO:0014065;GO:0046854;GO:0036092;GO:0042993;GO:0045944;GO:0015031;GO:0010506;GO:0043551;GO:0034976
Mle_000199	GO:0005737;GO:0004719;GO:0006479;GO:0008168;GO:0008171;GO:0008168;GO:0032259;GO:0008168;GO:0008168;GO:0008152
Mle_000201	GO:0015629;GO:0005737;GO:0030027;GO:0097481;GO:0001725;GO:0003779;GO:0008270;GO:0007411;GO:0042384;GO:0007010;GO:0030032;GO:0045944;GO:0008270
Mle_000205	GO:0005737;GO:0016607;GO:0005654;GO:0000166;GO:0044822;GO:0003723;GO:1990825;GO:0031124;GO:0006406;GO:0000398;GO:0048024;GO:0006405;GO:0006369;GO:0003676
Mle_000206	GO:0031902;GO:0005635;GO:0010458;GO:0031468;GO:0015031;GO:0007034;GO:0007034
Mle_000209	GO:0016021;GO:0005886;GO:0009506;GO:0005524;GO:0005516;GO:0030246;GO:0004674;GO:0031625;GO:0045087;GO:0006468;GO:0048544;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468
Mle_000214	GO:0000331;GO:0005737;GO:0031012;GO:0005615;GO:0005622;GO:0005634;GO:0005509;GO:0050839;GO:0019900;GO:0019901;GO:0031013;GO:0072666;GO:0000281;GO:1903665;GO:0045861;GO:0032781;GO:0051343;GO:0061122;GO:0043549;GO:0005509;GO:0005509;GO:0005509;GO:0005509;GO:0005509
Mle_000224	GO:0005858;GO:0005737;GO:0030286;GO:0036156;GO:0005874;GO:0036126;GO:0005524;GO:0016887;GO:0003777;GO:0060294;GO:0001539;GO:0003351;GO:0036159;GO:0009612;GO:0030317;GO:0005524;GO:0003723;GO:0003724;GO:0003777;GO:0007018;GO:0030286;GO:0003677;GO:0005524;GO:0016787;GO:0005524;GO:0016887
Mle_000227	GO:0000110;GO:0005634;GO:0003684;GO:0046872;GO:0006284;GO:0006289;GO:1901255;GO:0000715;GO:0033683;GO:0070914
Mle_000231	GO:0005730;GO:0007219;GO:0005515
Mle_000233	GO:0005694;GO:0005634;GO:0046975;GO:0042800;GO:0008270;GO:0010452;GO:0051568;GO:0005515
Mle_000239	GO:0005737;GO:0005634;GO:0046872;GO:0032041;GO:0006355;GO:0006351
Mle_000241	GO:0003964;GO:0006313
Mle_000242	GO:0005783;GO:0005789;GO:0005794;GO:0000139;GO:0016021;GO:0022857
Mle_000243	GO:0005737;GO:0005829;GO:0019897;GO:0005886;GO:0016028;GO:0001726;GO:0005525;GO:0032794;GO:0003924;GO:0019901;GO:0030036;GO:0031532;GO:0051017;GO:0007015;GO:0032147;GO:0034334;GO:0048675;GO:0007411;GO:0016199;GO:0007413;GO:0007409;GO:0007298;GO:0035212;GO:0000902;GO:0008283;GO:0045216;GO:0006974;GO:0030866;GO:0016358;GO:0048813;GO:0071907;GO:0046843;GO:0007391;GO:0046664;GO:0007394;GO:0007395;GO:0048615;GO:0035010;GO:0042067;GO:0007164;GO:0007390;GO:0008347;GO:0008258;GO:0007516;GO:0035099;GO:0035320;GO:0002433;GO:0007254;GO:0030032;GO:0035011;GO:0008078;GO:0007017;GO:0016335;GO:0008045;GO:0016203;GO:0048747;GO:0007520;GO:0051450;GO:0010593;GO:0097206;GO:0031175;GO:0048812;GO:0007424;GO:0030707;GO:0007422;GO:0006909;GO:0045773;GO:1902669;GO:0001954;GO:0051491;GO:0071902;GO:0090303;GO:0050770;GO:0051726;GO:0048814;GO:0045610;GO:1904059;GO:0051963;GO:0050807;GO:0042052;GO:0007435;GO:0050975;GO:0007264;GO:0007426;GO:0007419;GO:0005525;GO:0005525;GO:0007264;GO:0005525;GO:0007264
Mle_000248	GO:0005509;GO:0005509;GO:0005509;GO:0007165;GO:0005578;GO:0005509;GO:0005509;GO:0005509;GO:0005509
Mle_000254	GO:0016021;GO:0005886;GO:0016500;GO:0004930;GO:0007186;GO:0016021
Mle_000257	GO:0005783;GO:0005739;GO:0016607;GO:0005730;GO:0005634;GO:0003677;GO:0003906;GO:0008311;GO:0046872;GO:0003723;GO:0006284;GO:0080111;GO:0060047;GO:0001947;GO:0043066;GO:0010628
Mle_000258	GO:0032021;GO:0005634;GO:0005705;GO:0005703;GO:0008023;GO:0017053;GO:0003723;GO:0034244;GO:0007070;GO:0022008;GO:0006351;GO:0045892;GO:0005634
Mle_000262	GO:0016021;GO:0005886;GO:0016500
Mle_000266	GO:0005737;GO:0005829;GO:0070062;GO:0005739;GO:0020037;GO:0042168
Mle_000268	GO:0005618;GO:0005615;GO:0005764;GO:0005886;GO:0004197;GO:0006952;GO:0010623;GO:0051603;GO:0008234;GO:0006508
Mle_000273	GO:0005524;GO:0016874;GO:0006464;GO:0006464
Mle_000276	GO:0005737;GO:0005524;GO:0004594;GO:0015937;GO:0004594;GO:0005524;GO:0015937
Mle_000277	GO:0005576;GO:0052689
Mle_000279	GO:0005576;GO:0004252;GO:0006957;GO:0016021
Mle_000283	GO:0016021;GO:0005639;GO:0016020;GO:0005637;GO:0003677;GO:0000166;GO:0032926;GO:0030514;GO:0030512;GO:0005639
Mle_000286	GO:0005783;GO:0016021;GO:0005739;GO:0005886;GO:0043235;GO:1990909;GO:1990851;GO:1904928;GO:0071936;GO:0042813;GO:0017147;GO:0060612;GO:0060033;GO:0009952;GO:1902262;GO:1904886;GO:0048539;GO:0060349;GO:0046849;GO:0060444;GO:0060070;GO:0042074;GO:0060764;GO:0042632;GO:0008203;GO:0042733;GO:0006897;GO:0035426;GO:0001702;GO:0006007;GO:0045668;GO:0071901;GO:0002076;GO:0008284;GO:0045600;GO:0002053;GO:0045840;GO:0033690;GO:0051091;GO:0045944;GO:0045893;GO:0042981;GO:0008217;GO:0046850;GO:0060828;GO:0061178;GO:0060042;GO:0061304;GO:0035019;GO:0016055;GO:0044332;GO:0005515
Mle_000292	GO:0005737;GO:0005634;GO:0016874;GO:0046872;GO:0004842;GO:0042787;GO:0005515;GO:0005515
Mle_000293	GO:0009986;GO:0005576;GO:0005509;GO:0051291;GO:0051260
Mle_000295	GO:0016021;GO:0043235;GO:0005509;GO:0015031;GO:0006898;GO:0005515;GO:0005509
Mle_000298	GO:0005814;GO:0036064;GO:0005829;GO:0004181;GO:0008270;GO:0035610;GO:0004181;GO:0008270;GO:0006508
Mle_000299	GO:0005887;GO:0005249;GO:0042391;GO:0005515;GO:0005515
Mle_000305	GO:0005654;GO:0034388;GO:0032040;GO:0044822;GO:0030515;GO:0000462;GO:0000028;GO:0006364;GO:0005515;GO:0006364;GO:0032040
Mle_000308	GO:0036128;GO:0031514;GO:0005886;GO:0005227;GO:0005245;GO:0006816;GO:0030154;GO:0007342;GO:0086010;GO:0007275;GO:0051924;GO:0060296;GO:0030317;GO:0007283;GO:0005216;GO:0006811;GO:0055085;GO:0016020
Mle_000311	GO:0030425;GO:0016021;GO:0043025;GO:0008076;GO:0005250;GO:0046872;GO:0051260;GO:0051260
Mle_000314	GO:0005929;GO:0005737;GO:0035082;GO:0043010;GO:0060271;GO:0007368;GO:0042733;GO:0007507;GO:0002088;GO:0021915;GO:0061512;GO:0060041;GO:0003406;GO:0007224;GO:0060831
Mle_000322	GO:0005794;GO:0032580;GO:0070916;GO:0030173;GO:0045140;GO:0006673;GO:0030148
Mle_000325	GO:0005743;GO:0005739;GO:0008962;GO:0004439;GO:0004725;GO:0008138;GO:0016311;GO:0022008;GO:0006655;GO:0006470;GO:0008138;GO:0006470
Mle_000326	GO:0005737;GO:0005524;GO:0046872;GO:0019901;GO:0004674;GO:0051301;GO:0007067;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468
Mle_000328	GO:0005737;GO:0030027;GO:0001725;GO:0008270;GO:0030036;GO:0042384;GO:0030032;GO:1903955;GO:0045944;GO:0006351;GO:0008270
Mle_000330	GO:0005737;GO:0005634;GO:0001046;GO:0043565;GO:0003700;GO:0060218;GO:0061056;GO:0061053;GO:0006351;GO:0003677
Mle_000333	GO:0017017;GO:0044822;GO:0004725;GO:0035335;GO:0008138;GO:0006470
Mle_000334	GO:0015030;GO:0005737;GO:0005634;GO:0005697;GO:0051087;GO:0032403;GO:0003723;GO:0070034;GO:0070200;GO:1904851;GO:0051973;GO:0032212;GO:0090666;GO:0090671;GO:0032203;GO:0005515
Mle_000335	GO:0043209
Mle_000337	GO:0005737;GO:0005576;GO:0005634;GO:0004536;GO:0004519;GO:0046872;GO:0003335;GO:0006308;GO:0001942
Mle_000341	GO:0005737;GO:0005634;GO:0005819;GO:0044822;GO:0008270;GO:0097190;GO:0006351;GO:0005515
Mle_000342	GO:0005923;GO:0005737;GO:0030425;GO:0005576;GO:0005615;GO:0016021;GO:0005622;GO:0043025;GO:0005886;GO:0043235;GO:0001525;GO:0021510
Mle_000344	GO:0005737;GO:0005829;GO:0070062;GO:0016020;GO:0005634;GO:0005886;GO:0005509;GO:0005544;GO:0004175;GO:0051059;GO:0001786;GO:0042803;GO:0005215;GO:0071277;GO:0046474;GO:0006629;GO:0043392;GO:0010629;GO:1901223;GO:1990138;GO:0045666;GO:0051897;GO:1903265;GO:0006508;GO:0043122;GO:0006355;GO:0006351;GO:0016192;GO:0005515
Mle_000345	GO:0016021;GO:0004930;GO:0009881;GO:0007602;GO:0018298;GO:0007601;GO:0004930;GO:0007186;GO:0016021
Mle_000347	GO:0005887;GO:0008514;GO:0015347;GO:0015349;GO:0015711;GO:0043252;GO:0042403;GO:0070327;GO:0005215;GO:0006810;GO:0016020
Mle_000348	NA
Mle_000357	GO:0005737;GO:0005654;GO:0005634;GO:0005667;GO:0003682;GO:0003677;GO:0001102;GO:0000978;GO:0001105;GO:0000981;GO:0001085;GO:0043565;GO:0003714;GO:0003700;GO:0008134;GO:0001077;GO:0030183;GO:0001708;GO:0008340;GO:0000122;GO:0051169;GO:0021983;GO:0008284;GO:0032962;GO:0040018;GO:0045944;GO:0045893;GO:0043567;GO:0006355;GO:0060133;GO:0060126;GO:0003677;GO:0003700;GO:0006355
Mle_000358	GO:0016021;GO:0005886;GO:0004940;GO:0007189;GO:0045823;GO:0004930;GO:0007186;GO:0016021
Mle_000359	GO:0071944;GO:0001533;GO:0005737;GO:0030674;GO:0005198;GO:0031424;GO:0030216;GO:0018149
Mle_000364	GO:0005794;GO:0005634;GO:0048471;GO:0043234;GO:0005524;GO:0003677;GO:0004386;GO:0004402;GO:0003713;GO:0006357;GO:0006351;GO:0016032;GO:0005524;GO:0003676;GO:0005524
Mle_000365	GO:0003964
Mle_000367	GO:0030173;GO:0005886;GO:0003947;GO:0008376;GO:0001574;GO:0030259;GO:0019915;GO:0006486;GO:0007283
Mle_000372	GO:0005737;GO:0005829;GO:0005634;GO:0042802;GO:0042803;GO:0000975;GO:0003700;GO:0071359;GO:0071222;GO:0051607;GO:0045087;GO:0031663;GO:0050715;GO:0043123;GO:0032727;GO:0032728;GO:0060340;GO:0097300;GO:0009617;GO:0043330;GO:0032496;GO:0006351;GO:0045351;GO:0000975
Mle_000373	GO:0016021
Mle_000374	GO:0045302
Mle_000375	GO:0005737;GO:0044798;GO:0005634;GO:0003677;GO:0000979;GO:0000981;GO:0060612;GO:0060018;GO:0045165;GO:0048469;GO:0048484;GO:0045444;GO:0001701;GO:0008584;GO:0072289;GO:0061138;GO:0043066;GO:0045662;GO:0046533;GO:0045892;GO:0001755;GO:0048709;GO:0001649;GO:0007422;GO:0090190;GO:0014015;GO:0090184;GO:0033690;GO:0045944;GO:0045893;GO:0010817;GO:0072034;GO:0060041;GO:0060221;GO:0060009;GO:0007165;GO:0035914;GO:0007283;GO:0006351;GO:0072197
Mle_000378	GO:0016021;GO:0043202;GO:0005765;GO:0003993;GO:0003993
Mle_000380	GO:0005634;GO:0005524;GO:0000309;GO:0004515;GO:0034628;GO:0009611;GO:0003824;GO:0009058
Mle_000381	GO:0016021;GO:0019706;GO:0008270
Mle_000382	GO:0005737;GO:0016020;GO:0016363;GO:0016607;GO:0005654;GO:0005685;GO:0071004;GO:0044822;GO:0070064;GO:0003723;GO:0016477;GO:0007010;GO:0000398;GO:0008360;GO:0032465;GO:0005515;GO:0000166;GO:0004812;GO:0005524;GO:0006418
Mle_000383	GO:0005829;GO:0005887;GO:0004966;GO:0042923;GO:0017046;GO:0007189;GO:0007188;GO:0043647;GO:0007194;GO:0031175;GO:0046488;GO:0007200;GO:0007204;GO:1902608;GO:0045944;GO:0004930;GO:0007186;GO:0016021;GO:0008528
Mle_000384	GO:0005788;GO:0016671;GO:0015035;GO:0045454;GO:0030433;GO:0034975;GO:0045454;GO:0016209;GO:0016491;GO:0055114;GO:0016491
Mle_000388	GO:0005737;GO:0016020;GO:0030154;GO:0007275;GO:0007283;GO:0007268
Mle_000391	GO:0009986;GO:0005829;GO:0005615;GO:0005739;GO:0005654;GO:0005782;GO:0005886;GO:0005524;GO:0004222;GO:0042277;GO:0008270;GO:0050435;GO:0010815;GO:0008340;GO:1901143;GO:0043171;GO:0032461;GO:0051260;GO:0016485;GO:0051603;GO:0010992
Mle_000393	GO:0005576;GO:0005509;GO:0004222;GO:0008270;GO:0030154;GO:0007275;GO:0048632;GO:0005515;GO:0004222;GO:0006508;GO:0005509
Mle_000398	GO:0003964;GO:0006313
Mle_000400	GO:0005739;GO:0003987;GO:0005524;GO:0008152;GO:0003824;GO:0008152
Mle_000405	GO:0005782;GO:0005777;GO:0003986;GO:0016289;GO:0016818;GO:0000287;GO:0030145;GO:0005102;GO:0030515;GO:0046356;GO:0050873;GO:0044255;GO:0015938;GO:0009132;GO:0016787
Mle_000410	GO:0016021;GO:0022891;GO:0022857;GO:0055085;GO:0016021;GO:0055085;GO:0016021
Mle_000411	GO:0005788;GO:0005793;GO:0042470;GO:0005886;GO:0005790;GO:0005509;GO:0003756;GO:0043277;GO:0045454;GO:0030168;GO:0070527;GO:0006457;GO:0034976;GO:0045454
Mle_000415	GO:0044297;GO:0005737;GO:0030425;GO:0070062;GO:0005654;GO:0005634;GO:0016589;GO:0048471;GO:0043565;GO:0008134;GO:0008270;GO:0009952;GO:0007420;GO:1990090;GO:0006338;GO:0001892;GO:0007492;GO:0000122;GO:0045893;GO:0006355;GO:0009611;GO:0006351;GO:0005515
Mle_000417	GO:0030424;GO:0005737;GO:0030425;GO:0048471;GO:0048675;GO:0035147;GO:0030154;GO:0007476;GO:0002165;GO:0050768;GO:0035155;GO:0022008;GO:0007424;GO:1904799;GO:0016246;GO:0035071;GO:0007430
Mle_000420	GO:0005615;GO:0005509;GO:0030246;GO:0042806;GO:0010185;GO:0001868;GO:0045088
Mle_000421	GO:0005737;GO:0005634;GO:0019904;GO:0030346;GO:0004864;GO:0016568;GO:0006336;GO:0060548;GO:0014823;GO:0005515;GO:0005515;GO:0005515;GO:0005515
Mle_000423	GO:0005783;GO:0005789;GO:0016021;GO:0018812;GO:0019899;GO:0004864;GO:0030497;GO:0030148;GO:0042761
Mle_000427	GO:0005665;GO:0005654;GO:0005634;GO:0003677;GO:0003899;GO:0030275;GO:0034587;GO:0006366;GO:0046983;GO:0006351;GO:0046983;GO:0006351
Mle_000433	GO:0005840;GO:0003735;GO:0006412;GO:0003735;GO:0006412;GO:0005622;GO:0005840
Mle_000435	GO:0005635;GO:0005509
