ID	transcript_length	1hpf_2012_N7	1hpf_2013_21	1hpf_2013_41	2hpf_2012_N6	2hpf_2013_22	2hpf_2013_32	2hpf_2013_42	3hpf_2012_N5	3hpf_2013_23	3hpf_2013_33	4hpf_2012_N4	4hpf_2013_24	4hpf_2013_34	5hpf_2012_14	5hpf_2012_N3	5hpf_2013_25	6hpf_2012_23	6hpf_2012_N2	6hpf_2013_26	6hpf_2013_46	7hpf_2012_N1	7hpf_2013_17	7hpf_2013_27	7hpf_2013_47	8hpf_2012_18	8hpf_2012_N8B	8hpf_2013_18	8hpf_2013_28	8hpf_2013_48	9hpf_2012_37	9hpf_2013_49
Mle_000019	1858	19	0	0	256	0	0	0	0	0	0	10	1	4	1	0	0	0	242	1	0	1	0	1	13	53	199	11	17	24	19	135
Mle_000020	1050	12	0	0	26	0	0	0	0	0	1	11	1	6	1	0	3	17	8	6	2	0	1	0	4	12	25	0	3	10	12	0
Mle_000021	508	11	0	0	17	0	0	0	0	0	0	18	0	0	2	0	0	0	18	0	2	3	1	4	6	9	28	1	1	6	11	21
Mle_000022	1456	5032	2660	2139	5469	1615	1460	1768	5546	1438	2069	6485	1358	1779	4329	4247	1041	1272	4990	1651	945	4801	4324	1400	3662	2800	5400	3900	1597	1559	4157	3588
Mle_000023	3641	51060	24174	28600	28877	15178	14644	46205	21662	12071	16684	65226	14368	20714	47329	12978	10631	34083	24387	39900	19266	15563	52579	51967	33682	18267	30556	41924	26797	5210	41001	12150
Mle_000024	402	1	0	0	3	0	1	0	0	1	0	0	4	0	0	1	1	0	1	0	0	6	0	0	0	2	2	0	0	3	1	3
Mle_000025	2144	772	349	160	749	170	149	43	757	188	97	930	245	227	481	516	220	194	326	108	61	351	104	60	148	303	596	185	89	362	708	137
Mle_000026	1931	15084	10885	4172	15545	5921	4608	2076	20299	6229	4048	19456	6019	5487	11884	14271	4498	2802	11572	3123	1707	11344	4769	2682	4132	6985	11027	4847	4226	7949	13533	4221
Mle_000027	326	23	1	0	32	1	0	0	9	2	1	18	0	6	8	10	2	0	15	0	0	2	5	1	5	18	26	2	2	8	23	10
Mle_000028	653	14	2	0	129	1	4	0	14	0	0	19	0	0	5	13	0	1	52	0	1	16	0	0	0	10	58	0	1	17	12	31
Mle_000029	3918	8706	4332	5369	6784	2910	2662	4194	5942	2636	2596	11768	3098	3609	7094	3867	2702	3920	5774	3406	2215	3681	2751	3144	5606	3653	6796	3473	2929	2299	7364	4780
Mle_000030	2407	36	0	0	50	0	3	14	1	1	2	14	0	4	2	1	2	29	23	10	7	5	10	9	6	28	89	18	15	21	36	20
Mle_000031	3845	5589	3059	1943	3404	2072	1900	1779	3597	1790	1629	8757	2171	2285	6089	2443	1838	2664	3224	3591	1027	2102	3400	3269	2073	2100	3256	3577	2493	865	4852	1409
Mle_000032	572	15	0	0	13	0	0	0	0	0	1	9	0	0	0	1	0	0	7	1	2	0	0	2	0	6	11	2	3	9	15	0
Mle_000033	364	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	3	4	0	0	1	6	0
Mle_000034	2112	22	0	1	44	0	2	1	5	1	8	48	15	6	12	4	12	13	735	20	14	16	17	29	0	20	53	7	21	5	21	32
Mle_000035	1472	72	0	0	87	0	1	0	0	1	3	51	3	22	6	3	6	2	28	29	11	3	19	12	25	40	103	7	33	25	71	13
Mle_000036	991	21	0	0	13	0	1	0	3	2	0	9	0	7	2	0	3	0	7	1	1	3	0	0	0	18	31	3	7	15	21	7
Mle_000037	2568	9	0	0	309	0	0	0	6	1	1	33	0	0	17	3	2	0	197	0	2	0	2	1	8	16	194	5	0	18	8	41
Mle_000038	339	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	5	4	3	0	0	0
Mle_000039	2277	30	3	2	64	3	0	0	9	4	0	22	3	2	6	6	6	14	9	8	1	1	7	7	37	28	64	18	10	15	28	26
Mle_000040	2171	3615	2338	1790	4035	1092	1297	553	3701	1082	1198	4660	1018	1291	3205	2924	776	828	2644	1384	852	2500	3284	1263	1052	919	1741	2602	1345	1117	2943	737
Mle_000041	776	18	0	0	24	0	1	0	0	0	2	19	0	2	2	0	1	1	4	5	1	1	2	6	2	15	25	23	6	6	18	51
Mle_000042	804	6	0	0	12	0	0	0	0	0	1	4	0	1	0	0	0	1	3	0	0	0	1	0	0	4	6	3	6	1	6	3
Mle_000043	946	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	2	0	2	2	0	1	0	3	0	10	9	0	4	1	0	3
Mle_000044	1009	75	1	0	122	17	44	14	60	31	30	169	40	31	115	201	31	44	169	36	16	145	41	18	33	58	119	26	22	24	73	23
Mle_000045	317	5	0	0	14	0	0	0	0	0	0	6	0	1	0	0	1	0	0	1	0	0	2	0	0	3	6	7	3	2	5	4
Mle_000046	2587	1057	232	218	1185	211	207	214	572	217	166	1576	231	269	1078	437	209	416	584	373	365	323	526	341	1620	674	1398	548	279	371	930	2120
Mle_000047	563	3	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	6	0	0	0	3	0
Mle_000048	744	7	0	0	5	0	0	0	0	0	1	0	0	2	0	0	0	0	8	2	1	1	2	2	1	10	11	2	2	2	7	5
Mle_000049	330	14	0	0	12	0	0	0	0	0	1	11	0	4	0	0	0	1	8	2	3	0	0	3	18	8	17	0	2	7	14	10
Mle_000050	423	1	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2
Mle_000051	541	11	0	0	5	0	3	0	0	3	4	66	12	0	65	4	10	41	11	11	10	3	6	14	10	5	6	0	11	5	11	1
Mle_000052	1075	29	1	0	46	1	0	0	0	0	1	6	0	2	0	0	1	6	25	2	2	2	0	0	21	21	63	2	3	10	29	15
Mle_000053	782	46	1	0	113	0	3	0	4	0	3	35	2	11	15	14	1	8	49	12	21	15	11	16	36	25	81	20	13	27	46	16
Mle_000054	567	206	76	22	283	32	57	0	466	39	33	321	36	87	202	412	39	74	142	9	9	222	78	4	16	100	212	96	10	54	189	32
Mle_000055	1553	67	88	24	69	54	34	0	66	54	23	78	82	32	34	70	50	15	35	37	5	37	14	11	14	35	61	22	7	41	59	12
Mle_000056	400	338	4	0	342	1	3	0	14	2	49	85	2	53	18	10	18	70	266	35	39	59	301	36	148	201	667	522	71	257	335	435
Mle_000057	755	67	6	2	64	1	1	0	6	3	0	26	2	8	5	5	11	6	49	17	13	3	22	12	49	36	72	9	21	58	66	22
Mle_000058	694	2	0	0	0	0	1	0	0	0	0	1	2	0	1	2	4	0	1	1	1	4	4	2	0	2	1	0	2	3	2	0
Mle_000059	420	4	0	0	3	0	0	0	2	0	1	1	0	2	0	1	2	0	6	4	5	0	1	0	0	1	7	6	2	4	3	5
Mle_000060	1047	7	0	0	20	0	0	0	0	0	0	3	2	0	2	1	2	0	14	0	0	0	0	0	4	2	13	5	3	1	7	0
Mle_000061	1372	415	1	1	497	0	0	0	0	0	1	31	1	2	0	1	0	46	80	0	5	1	4	0	120	257	769	75	19	202	415	309
Mle_000062	766	273	2	0	861	196	744	431	744	404	313	4792	428	396	3458	1795	254	1436	2296	476	615	1466	91	569	1135	462	955	84	155	110	273	414
Mle_000063	3848	2269	549	1522	2470	318	873	614	3116	262	821	3354	293	1120	2255	2085	208	647	1917	247	379	1431	807	247	769	708	1334	790	214	505	1891	392
Mle_000064	1153	1041	371	593	1380	239	246	454	553	198	225	1372	232	271	985	338	201	313	1534	376	191	306	438	419	615	516	1146	542	309	424	879	1006
Mle_000065	1158	14	0	0	34	0	0	4	1	0	2	3	1	0	0	0	0	0	3	0	2	0	0	0	0	19	36	2	0	5	14	0
Mle_000066	2522	11152	3700	6969	6746	2968	3602	9885	7008	3105	2753	18380	3783	3921	12986	4588	2827	6200	6317	4954	2389	4078	6115	4826	7177	4636	7058	7180	4542	2340	9642	2287
Mle_000067	447	16	0	0	29	1	0	0	0	0	0	3	1	3	0	1	4	12	13	10	2	1	1	2	4	23	38	1	7	4	16	9
Mle_000068	551	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	5	3	0	0	0	0	0	0	1	1	0	2	1	0
Mle_000069	2089	208	2	1	322	6	17	0	44	0	24	182	4	51	41	34	14	173	180	32	30	23	40	19	111	241	410	162	51	100	207	91
Mle_000070	3925	457	13	6	708	3	8	0	10	2	27	191	20	97	22	11	44	110	276	67	71	22	53	37	192	302	753	162	98	307	453	223
Mle_000071	2506	2255	986	588	1817	810	480	278	1116	713	468	2367	851	666	1573	745	779	812	1004	765	340	696	1011	656	882	1054	1950	1223	757	1134	2017	619
Mle_000072	1361	88	2	3	152	0	1	0	9	5	5	24	4	26	1	3	4	13	1205	5	22	4	23	6	71	79	211	14	14	214	88	266
Mle_000073	517	21	1	0	20	1	7	0	5	0	5	21	1	4	10	2	1	7	61	13	8	8	33	8	3	21	39	3	11	7	21	11
Mle_000074	668	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	71	0	1	0	0	1	0	1	1	0	2	0	0	0
Mle_000075	1742	108	5	0	102	0	29	0	6	2	38	71	22	38	46	31	24	53	134	46	33	115	20	28	96	76	163	49	41	34	108	104
Mle_000076	1408	8763	2569	6191	11159	1415	3562	4566	12277	1251	4325	15836	1379	5624	10706	6409	1242	3121	8145	1837	2782	6524	1899	1625	7532	3977	5544	2372	2319	3534	7365	5108
Mle_000077	749	27	0	0	48	0	0	0	0	0	4	11	0	3	0	0	2	0	8	1	4	2	1	5	12	15	49	5	3	29	27	18
Mle_000078	646	200	335	52	257	227	168	1	307	219	110	411	245	119	193	256	147	63	273	331	49	195	168	215	41	197	161	294	391	91	163	52
Mle_000079	444	118	0	0	652	0	0	0	0	1	8	49	1	17	1	2	3	15	17	2	6	5	0	10	1	98	309	9	113	150	118	24
Mle_000080	898	1	0	0	2	0	0	0	0	0	0	4	0	1	3	1	0	10	4	1	0	1	1	0	0	1	9	0	1	2	1	0
Mle_000081	455	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0
Mle_000082	842	2	1	0	14	0	0	0	0	0	1	14	0	1	0	0	0	17	9	2	6	0	1	1	29	6	12	10	1	26	2	27
Mle_000083	595	362	259	41	462	464	281	29	508	380	460	483	496	447	291	499	465	141	414	898	195	416	1652	512	44	224	192	1134	927	175	327	123
Mle_000084	2253	3265	1174	1522	2128	937	928	895	1824	849	875	5872	1061	1397	4238	1150	807	1995	2016	1848	939	991	1502	1546	1969	1346	2017	1928	1275	813	2792	973
Mle_000085	2051	223	14	0	545	8	4	0	14	12	22	150	15	50	31	16	25	82	263	39	35	22	51	22	111	167	456	30	56	121	222	161
Mle_000086	574	2	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	5	0	0	0	0	1	0	0	6	0	2	2	2	0
Mle_000087	342	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	1	0
Mle_000088	1367	717	322	128	791	189	172	98	848	178	190	818	188	298	474	577	184	42	587	92	57	580	184	54	228	342	657	238	129	395	626	173
Mle_000089	1732	31	10	9	63	3	0	2	7	0	3	39	6	6	26	2	3	13	56	10	11	0	3	5	37	40	68	11	10	28	29	22
Mle_000090	6367	817	368	127	1015	283	271	23	412	217	176	788	286	270	366	315	224	338	852	259	161	214	417	176	536	554	960	526	281	433	779	552
Mle_000091	943	30	2	4	34	1	4	0	3	0	3	24	1	9	4	3	3	2	47	8	19	4	9	1	23	22	35	17	16	23	30	22
Mle_000092	3723	12770	5933	7356	8529	4026	3436	10187	7602	3753	3535	24904	4107	5477	17471	5043	3795	7046	7019	7821	4647	4968	8657	8008	14802	6306	9093	7558	5978	2781	10802	11225
Mle_000093	569	2	0	0	1	2	0	0	0	0	0	0	0	1	0	0	3	3	0	5	1	0	0	1	4	3	3	0	0	5	2	0
Mle_000094	599	1	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	11	0	5	0	0	0	5	0	2	0	0	1	1	0
Mle_000095	2767	188	9	0	223	4	1	0	9	2	5	46	5	23	5	7	14	57	113	28	29	5	36	21	139	107	265	94	73	78	187	142
Mle_000096	707	10	1	0	20	0	3	0	2	0	0	20	4	5	3	0	0	0	8	4	46	0	50	5	20	3	22	23	3	1	9	37
Mle_000097	2146	8279	3928	2697	5677	2150	2561	1363	5840	2260	2669	10764	2483	3577	7196	4322	2125	2992	5409	2357	1321	4359	3694	2157	2392	3209	4215	4437	2503	2716	7328	1257
Mle_000098	1786	569	411	404	483	176	178	76	486	156	187	838	167	217	529	268	170	136	387	123	72	250	220	98	216	149	351	282	121	212	485	113
Mle_000099	1511	13	1	0	56	0	0	0	1	0	0	8	1	2	3	0	3	0	4	0	0	0	3	1	2	7	31	12	4	16	12	7
Mle_000100	636	20	0	1	59	0	0	0	1	1	2	21	1	5	2	0	4	11	35	10	18	2	17	7	25	23	57	41	12	15	20	30
Mle_000101	1827	34	0	0	46	1	1	0	0	0	0	11	0	2	0	1	5	0	2	7	3	1	0	8	9	23	53	4	2	12	34	13
Mle_000102	844	7	0	0	15	0	1	0	0	0	0	5	0	0	1	0	0	0	43	4	4	1	0	2	0	6	23	0	1	4	7	0
Mle_000103	1014	4	0	0	19	0	0	0	1	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	9	19	0	0	1	4	0
Mle_000104	3233	1915	1050	501	1458	601	469	156	1968	570	335	1978	728	631	1403	1311	642	355	955	291	201	789	510	270	334	639	1176	809	292	685	1740	246
Mle_000105	385	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	0	0	0	0	0	1	2	5	0	0	1	0
Mle_000106	4392	7348	3888	3204	5016	2382	2062	2114	4341	2135	1564	8818	2848	2248	5943	2125	2312	3871	4333	3321	1899	1860	2953	3434	4090	3150	4862	3986	3610	2717	6579	3570
Mle_000107	5144	154	1	1	274	0	8	0	2	0	6	109	7	28	26	3	19	61	186	22	38	3	14	29	51	124	282	23	37	53	153	56
Mle_000108	786	10	0	0	20	1	0	0	1	0	0	10	0	2	2	1	2	4	92	7	12	0	0	3	48	20	38	8	11	6	10	20
Mle_000109	434	156	41	26	243	20	22	17	81	19	15	184	21	38	139	49	20	37	113	17	11	32	36	17	121	92	248	112	36	90	138	143
Mle_000110	1820	4246	346	225	1625	250	504	180	739	245	458	3255	267	868	1605	356	248	1483	3603	799	608	392	1982	947	3107	2234	2660	3339	1519	1092	3905	2561
Mle_000111	782	6	0	0	10	0	0	0	0	0	0	10	0	1	4	0	1	0	26	0	7	0	1	2	51	4	7	5	1	6	6	21
Mle_000112	302	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0
Mle_000113	2072	18578	9560	4535	21953	6140	6045	2919	22917	5467	6993	25495	5569	8461	15297	15661	5042	6222	15237	5224	3809	16212	10125	3940	5400	8648	13877	8906	5038	7689	15997	4975
Mle_000114	851	2	0	0	5	0	0	0	0	0	1	2	0	1	0	0	2	1	0	0	1	0	6	0	1	4	18	5	0	1	2	0
Mle_000115	3042	2136	1501	893	1840	1122	832	475	1985	1035	988	3272	1120	1126	2062	1400	984	642	1525	996	479	1404	979	817	1080	1096	1601	1190	893	738	1834	817
Mle_000116	3371	2214	71	8	1873	49	71	14	50	31	160	1058	60	391	358	70	87	867	3996	311	771	104	629	237	2853	1520	3124	1020	344	1064	2175	3788
Mle_000117	1150	58	1	0	75	2	0	1	0	0	2	12	1	9	8	1	3	57	27	12	6	6	14	11	38	29	80	24	42	24	56	42
Mle_000118	1805	18	1	0	40	0	3	0	0	0	4	23	1	2	21	0	3	25	208	3	12	4	13	4	34	23	39	11	14	21	18	35
Mle_000119	417	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	1	0	1	5	0	0	1	0	0
Mle_000120	10087	2901	157	3	10312	101	7	1	41	104	47	893	93	253	122	25	106	947	9291	337	507	24	391	321	1965	2512	11924	946	825	1998	2882	5730
Mle_000121	659	4	0	2	1	0	2	0	0	0	2	1	1	2	1	0	0	10	2	1	0	2	22	2	0	0	2	25	0	2	4	0
Mle_000122	327	2	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0
Mle_000123	2399	1999	1626	1447	2041	936	772	1162	1770	843	651	4227	1015	912	3093	1231	776	694	1367	871	398	944	815	724	718	660	1251	1030	673	517	1733	461
Mle_000124	6897	67	2	2	723	0	0	0	1	1	0	11	3	3	5	1	11	20	345	4	8	0	0	6	7	48	653	0	19	28	67	55
Mle_000125	619	3	0	0	10	0	0	0	0	0	0	0	0	1	0	0	1	0	12	0	0	0	0	0	0	2	9	0	0	0	3	1
Mle_000126	643	47	0	0	50	0	0	0	0	0	0	10	0	4	1	0	2	7	10	4	1	3	14	1	10	18	42	39	6	21	47	23
Mle_000127	4572	1313	14	18	2263	9	36	3	15	7	79	709	39	272	188	8	94	520	1299	266	282	72	287	196	1156	1141	2380	629	472	841	1310	1578
Mle_000128	1920	9	1	0	455	0	2	0	3	0	2	7	0	4	1	4	1	0	402	0	4	3	1	0	0	17	285	2	4	11	6	170
Mle_000129	1038	39	6	2	216	6	6	0	8	7	8	16	10	12	13	4	6	16	156	7	4	11	4	3	7	54	212	9	4	61	39	95
Mle_000130	501	17	0	0	16	0	1	0	0	0	0	3	0	0	0	0	1	0	3	0	0	2	1	0	0	12	19	2	0	18	17	5
Mle_000131	312	235	6	31	186	6	9	0	60	1	44	195	4	42	93	24	10	65	282	23	172	109	13	7	552	360	442	19	16	119	184	1148
Mle_000132	1290	44	0	3	62	0	0	0	0	0	3	46	1	1	15	0	2	31	28	12	21	0	3	0	22	47	87	14	11	13	44	58
Mle_000133	319	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	1	0
Mle_000134	934	22	1	0	7	1	0	0	0	0	4	24	1	10	0	1	3	81	6	9	47	1	12	9	14	39	48	6	6	20	22	12
Mle_000135	591	3	0	0	12	0	0	0	0	0	0	5	0	0	0	1	0	0	6	0	1	0	1	0	5	3	1	3	3	2	3	6
Mle_000136	423	19	0	0	26	0	0	0	0	0	0	7	0	3	3	1	1	8	32	2	4	0	4	0	43	11	28	11	4	8	19	45
Mle_000137	8240	11573	4174	2814	6613	3530	2686	2350	6206	3085	2349	16336	4032	3540	11472	3886	2931	7185	7062	5160	2278	2815	4270	5803	6100	4855	7440	4919	4204	2894	9916	4197
Mle_000138	324	0	0	0	1	1	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Mle_000139	1171	50	0	0	49	0	0	0	6	1	0	34	1	0	25	6	0	2	8	1	1	4	0	0	1	2	4	0	1	4	36	0
Mle_000140	3203	234	0	0	468	1	2	0	0	1	4	43	1	14	8	0	2	17	127	4	1	1	5	3	71	237	510	32	15	165	229	179
Mle_000141	454	6	0	0	7	0	0	0	0	0	0	0	0	1	0	1	0	0	13	4	2	1	5	0	22	7	12	3	3	0	6	12
Mle_000142	4115	1479	1	0	3713	1	13	0	1	0	24	282	5	15	4	1	6	57	2021	40	46	14	298	49	289	1737	5401	982	124	575	1478	1514
Mle_000143	1055	9	0	0	30	0	0	0	0	0	0	4	0	9	3	0	1	18	5	0	0	0	0	0	0	6	20	1	1	2	9	5
Mle_000144	615	1	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	15	6	0	0	0	0	0	0	2	5	0	2	0	1	0
Mle_000145	1413	141	242	45	99	147	203	2	234	108	153	202	186	199	99	155	162	61	85	84	18	97	51	45	10	56	72	55	73	65	125	21
Mle_000146	2685	254	5	0	485	3	7	0	7	6	11	103	0	50	19	11	6	21	265	14	16	17	66	12	72	193	541	132	67	188	251	209
Mle_000147	508	61	2	0	116	1	3	0	4	0	2	38	8	6	4	7	11	15	14	1	8	8	0	3	10	33	116	3	13	41	61	13
Mle_000148	334	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	9
Mle_000149	440	21	3	0	22	1	0	0	0	1	1	33	0	0	1	1	0	1	12	6	1	0	0	4	0	12	23	5	9	3	21	2
Mle_000150	1050	102	2	0	47	0	17	0	1	1	29	285	7	42	200	5	32	142	82	93	70	77	65	66	109	82	159	95	78	82	101	54
Mle_000151	714	14	0	0	29	0	1	0	0	1	1	7	0	2	3	0	0	0	19	1	4	0	3	0	0	11	16	0	2	7	13	10
Mle_000152	1834	511	296	19	499	245	193	25	332	248	204	375	308	351	147	359	332	97	238	126	34	251	434	62	78	303	450	488	174	374	501	66
Mle_000153	1411	97375	43301	54568	97201	27829	26578	58495	76880	22328	33093	133497	20752	31938	101691	56035	14874	42261	83684	35152	43149	69473	81977	43608	133570	52796	117129	55982	37286	30841	77354	83906
Mle_000154	2243	10734	3714	1515	8283	2074	2711	225	5155	1917	3234	11218	2279	4382	5344	4198	2074	2941	6701	9163	6458	4186	6916	8267	2295	4829	5172	6625	7544	4341	9009	2295
Mle_000155	3965	755	19	20	1690	7	8	2	81	4	37	493	14	97	173	49	29	303	2657	74	353	110	1191	75	771	592	2087	1212	161	434	711	1067
Mle_000156	430	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	4	0	0	3	4	0
Mle_000157	731	776	220	69	593	92	38	8	263	112	52	467	114	84	215	158	88	277	388	283	141	239	99	301	268	354	729	80	292	196	652	72
Mle_000158	2274	455	440	200	433	304	129	54	697	232	144	720	221	173	528	508	188	60	292	100	34	257	355	77	111	99	203	535	84	137	387	103
Mle_000159	5242	62175	22431	27183	40562	14296	13602	36236	36199	12634	12983	88218	15174	20377	62773	20903	12513	35561	32952	29727	19145	17965	34934	33791	42640	23255	34133	34190	23151	12375	52831	18358
Mle_000160	329	5	0	0	6	0	0	0	0	0	1	2	1	2	0	0	0	0	9	0	0	2	0	0	0	7	10	1	1	1	5	10
Mle_000161	1618	2356	1293	1638	3128	717	632	792	2762	582	790	3979	674	987	2855	1954	508	403	1824	622	407	1846	960	517	1097	912	2000	1105	632	816	1923	730
Mle_000162	1029	10	0	0	22	0	2	0	0	0	1	11	0	1	4	0	2	0	0	3	0	0	0	1	0	3	13	0	0	4	10	3
Mle_000163	3544	7056	4375	4766	8096	2857	3034	3943	5456	2428	3200	14605	2549	2649	11441	3600	1789	3421	5349	3767	1699	4766	4245	3078	3714	2125	3712	4342	3408	1818	5743	2662
Mle_000164	1290	8	1	0	109	1	1	0	1	0	1	15	0	2	4	0	3	1	85	7	1	5	0	1	18	15	115	1	5	18	8	55
Mle_000165	654	5	1	0	6	0	0	0	0	0	0	8	0	3	0	0	1	0	8	5	1	0	1	0	0	6	6	3	1	1	5	5
Mle_000166	701	82	40	5	87	42	41	15	132	32	20	72	56	42	43	120	45	35	46	17	6	46	10	19	8	33	43	16	23	37	80	9
Mle_000167	926	7	0	0	18	0	0	0	0	0	1	16	1	1	0	1	2	1	0	2	1	1	1	0	5	6	13	0	1	4	7	0
Mle_000168	3157	3014	1385	503	1920	909	858	322	2276	881	824	4421	937	1227	2755	1952	909	1171	1920	641	336	1472	1234	482	558	1049	1620	1666	735	991	2760	692
Mle_000169	396	5	0	0	0	0	1	0	0	0	0	2	0	2	1	0	0	0	6	4	1	0	3	0	0	3	2	2	5	10	5	3
Mle_000170	2955	463	5	9	444	4	5	5	31	2	11	345	3	57	88	13	5	48	77	22	46	15	153	23	184	242	470	269	124	269	453	231
Mle_000171	1492	8440	5064	2214	7387	2389	1475	1122	9144	2168	1298	11460	2170	1688	7304	5232	1657	3434	5672	3275	1027	5364	4612	2387	1522	2872	4153	3952	2262	2186	6701	848
Mle_000172	510	31	1	2	14	0	1	0	11	1	0	21	1	1	11	6	1	9	11	0	0	6	0	0	3	3	13	2	1	0	21	0
Mle_000173	1400	11	0	0	39	0	0	0	2	0	0	15	0	2	2	1	0	0	35	0	1	3	1	1	19	15	36	7	0	14	9	22
Mle_000174	2023	55	0	0	109	2	3	0	0	1	2	19	0	14	2	1	2	6	39	4	3	0	1	1	12	58	134	12	16	25	55	37
