Gene	sp_id	sp_evalue	sp_desc	go_all	Pfam
Mle_000046	O54902	2e-91	Natural resistance-associated macrophage protein 2	GO:0045177;GO:0005737;GO:0005769;GO:0016021;GO:0005887;GO:0031902;GO:0005765;GO:0005741;GO:0046870;GO:0015086;GO:0050897;GO:0015087;GO:0005507;GO:0005375;GO:0015093;GO:0015639;GO:0005506;GO:0005381;GO:0015094;GO:0030145;GO:0005384;GO:0016151;GO:0015099;GO:0008270;GO:0006878;GO:0071456;GO:0071281;GO:0071356;GO:1902861;GO:0015684;GO:0055072;GO:0046686;GO:0001666;GO:0010039;GO:0010288;GO:0010042;GO:0000041;GO:0005215;GO:0006810;GO:0016020	PF01566;PF01566;PF01566
Mle_000050	Q7XP59	2e-12	Glutamate receptor 3.1	GO:0016021;GO:0004970	NA
Mle_000054	P60983	1e-28	Glia maturation factor beta	GO:0005622;GO:0008047;GO:0004860;GO:0004871;GO:0007612;GO:0007626;GO:0034316;GO:0007399;GO:0006468;GO:0007165;GO:0003779;GO:0005622	PF00241;PF00241
Mle_000055	Q08C93	1e-22	Monoacylglycerol lipase ABHD12	GO:0016021;GO:0047372;GO:0046464;GO:0016788;GO:0009058	PF00975;PF00975
Mle_000059	P46023	1e-04	G-protein coupled receptor GRL101	GO:0016021;GO:0005886;GO:0016500	NA
Mle_000062	P34326	2e-07	Homeobox protein engrailed-like ceh-16	GO:0005634;GO:0043565;GO:0010172;GO:0009957;GO:0048859;GO:0000122;GO:0045026;GO:0045944;GO:0003677;GO:0003677;GO:0006355	PF00046;PF05920;PF05920
Mle_000063	Q8X1T3	0	Pyruvate carboxylase	GO:0005737;GO:0005524;GO:0009374;GO:0004075;GO:0003677;GO:0046872;GO:0004736;GO:0006094;GO:0006090;GO:0003824;GO:0005524;GO:0046872;GO:0005524;GO:0008716	PF00682;PF02655;PF02655;PF02786;PF07478
Mle_000064	O94806	3e-39	Serine/threonine-protein kinase D3	GO:0005737;GO:0016020;GO:0005654;GO:0005524;GO:0016301;GO:0046872;GO:0004697;GO:0035556;GO:0007205;GO:0006468;GO:0035556	PF00130
Mle_000065	Q92673	1e-06	Sortilin-related receptor	GO:0005769;GO:0005783;GO:0005768;GO:0070062;GO:0005615;GO:0005794;GO:0031985;GO:0005887;GO:0034362;GO:0016020;GO:0005641;GO:0055037;GO:0005802;GO:0030306;GO:0001540;GO:0030169;GO:0004888;GO:0008203;GO:0006869;GO:1902960;GO:1902430;GO:0043407;GO:1902963;GO:1902997;GO:0050768;GO:1901215;GO:0032091;GO:0032460;GO:1902948;GO:1902771;GO:1902955;GO:2001137;GO:1902953;GO:0045732;GO:0070863;GO:1902966;GO:0006892;GO:0051604;GO:0045053;GO:0006605;GO:0000042;GO:0006622;GO:0006898;GO:0014910	NA
Mle_000069	P21328	3e-24	RNA-directed DNA polymerase from mobile element jockey	GO:0003964	NA
Mle_000070	Q9NBX4	3e-22	Probable RNA-directed DNA polymerase from transposon X-element	GO:0003964;GO:0006313;GO:0035556;GO:0005515	PF00130;PF00628
Mle_000071	V5YMB3	7e-27	Dipeptidyl aminopeptidase BIII	GO:0008239;GO:0004175;GO:0008236;GO:0051603;GO:0008236;GO:0006508;GO:0016787	PF00326;PF00326;PF01738
Mle_000084	Q8BQZ4	4e-27	Ral GTPase-activating protein subunit beta	GO:0005829;GO:0005096;GO:0046982;GO:0090630;GO:0061024;GO:0032484;GO:0060178;GO:0032880;GO:0051056	NA
Mle_000085	Q8I7P9	2e-40	Retrovirus-related Pol polyprotein from transposon opus	GO:0005634;GO:0004519;GO:0003676;GO:0008233;GO:0003964;GO:0015074;GO:0006313	NA
Mle_000088	P32348	5e-22	Tubulin gamma chain	GO:0000930;GO:0005874;GO:0005816;GO:0005525;GO:0003924;GO:0031122;GO:0007020;GO:0003924	PF00091
Mle_000089	Q9UGM3	2e-13	Deleted in malignant brain tumors 1 protein	GO:0005737;GO:0070062;GO:0005576;GO:0005615;GO:0019898;GO:0030670;GO:0042589;GO:0048306;GO:0005044;GO:0008329;GO:0035375;GO:0044267;GO:0051607;GO:0030855;GO:0043152;GO:0045087;GO:0007275;GO:0015031;GO:0016032;GO:0005044;GO:0016020;GO:0016020	PF00530;PF00530;PF15494
Mle_000090	Q9UK10	2e-04	Zinc finger protein 225	GO:0005634;GO:0003677;GO:0046872;GO:0003700;GO:0006355;GO:0006351	NA
Mle_000092	O75717	7e-96	WD repeat and HMG-box DNA-binding protein 1	GO:0005737;GO:0005654;GO:0003677;GO:0005515	PF00400
Mle_000093	Q3UF25	4e-10	Transmembrane protein 110	GO:0032541;GO:0005789;GO:0016021;GO:0005246;GO:0032237;GO:0035584;GO:0051533	NA
Mle_000097	Q5ZIW2	2e-86	CCR4-NOT transcription complex subunit 10 [Gallus gallus]	GO:0030014;GO:0005737;GO:0016020;GO:0005634;GO:0031047;GO:0006355;GO:0006417;GO:0006351;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515	PF00515;PF13174;PF13176;PF13181;PF13374;PF13414
Mle_000098	Q54PQ4	7e-21	Ras guanine nucleotide exchange factor A	GO:0005829;GO:0030250;GO:0005088;GO:0007190;GO:0031152;GO:0006935;GO:0043407;GO:0010628;GO:0043547;GO:0051897;GO:0007265;GO:0030587;GO:0005085;GO:0007264	PF00617;PF00617
Mle_000104	O48652	1e-145	(6-4)DNA photolyase	GO:0003914;GO:0003677;GO:0000166;GO:0006281;GO:0009411;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_000106	Q86Y91	4e-106	Kinesin-like protein KIF18B	GO:0000235;GO:0005737;GO:0005871;GO:1990752;GO:0035371;GO:0005634;GO:0005524;GO:0008574;GO:0019894;GO:0003774;GO:0051301;GO:0007019;GO:0007018;GO:0000278;GO:0000070;GO:0051302;GO:0003777;GO:0005524;GO:0008017;GO:0007018	PF00225;PF00225;PF00225;PF00225
Mle_000113	Q61656	0	Probable ATP-dependent RNA helicase DDX5	GO:0071013;GO:0070062;GO:0030529;GO:0016020;GO:0005730;GO:0005654;GO:0005634;GO:0050681;GO:0005524;GO:0004004;GO:0030331;GO:0044822;GO:0036002;GO:0003724;GO:0003713;GO:0003712;GO:0007623;GO:0001701;GO:0072332;GO:0006397;GO:0009299;GO:0000122;GO:0043517;GO:0033148;GO:0045944;GO:0045893;GO:0000381;GO:0060765;GO:0045667;GO:2001014;GO:0010501;GO:0008380;GO:0003676;GO:0005524;GO:0003676;GO:0005524;GO:0008026;GO:0016818;GO:0006139	PF00270;PF00270;PF13307;PF13307;PF13307;PF13307;PF13307
Mle_000120	Q8VHE6	0	Dynein heavy chain 5, axonemal	GO:0005858;GO:0005930;GO:0005737;GO:0005874;GO:0036157;GO:0005524;GO:0016887;GO:0003777;GO:0042384;GO:0003341;GO:0007368;GO:0007507;GO:0021670;GO:0036158;GO:0030317;GO:0005524;GO:0005524;GO:0016887	PF00004;PF07728;PF07728
Mle_000123	Q9D2C2	1e-13	Protein SAAL1	GO:0005615	NA
Mle_000125	Q01456	5e-06	Ovarian abundant message protein	NA;GO:0007157;GO:0009405;GO:0016021	PF07271;PF07271;PF07271
Mle_000127	Q9NBX4	7e-21	Probable RNA-directed DNA polymerase from transposon X-element	GO:0003964;GO:0006313;GO:0005515;GO:0042981;GO:0016021	PF01335;PF01335;PF03788
Mle_000128	P59995	3e-42	Potassium voltage-gated channel subfamily D member 2	GO:0005901;GO:0030054;GO:0043197;GO:0005887;GO:0032809;GO:0043204;GO:0044853;GO:0045211;GO:0042383;GO:0030315;GO:0008076;GO:0005250;GO:0046872;GO:0005249;GO:0086001;GO:0071456;GO:0071805;GO:0051260;GO:0005216;GO:0006811;GO:0055085;GO:0016020	PF00520;PF00520;PF00520;PF00520
Mle_000129	O96102	3e-17	Calmodulin	GO:0005509;GO:0005509;GO:0005509;GO:0007165;GO:0005578;GO:0005509;GO:0005509;GO:0005509;GO:0005509	PF00036;PF10591;PF10591;PF10591;PF13202;PF13405;PF13499;PF13833
Mle_000140	P39087	3e-39	Glutamate receptor ionotropic, kainate 2	GO:0030054;GO:0032839;GO:0008328;GO:0032983;GO:0016020;GO:0043025;GO:0043204;GO:0014069;GO:0045211;GO:0042734;GO:0045202;GO:0043195;GO:0005234;GO:0004970;GO:0015277;GO:0001662;GO:0006874;GO:0060079;GO:0060080;GO:0006886;GO:0050804;GO:0043524;GO:0051967;GO:0051402;GO:0019228;GO:0043525;GO:0050806;GO:0043113;GO:0046328;GO:0048169;GO:0042391;GO:0048172;GO:0007268;GO:0035249;GO:0004970;GO:0016020;GO:0004970;GO:0005234;GO:0016020	PF00060;PF00060;PF10613;PF10613;PF10613
Mle_000142	P36627	4e-05	Cellular nucleic acid-binding protein homolog	GO:0005829;GO:0005730;GO:0003677;GO:0003729;GO:0008494;GO:0008270;GO:2000767;GO:0003676;GO:0008270;GO:0006948	PF00098;PF00098;PF00523
Mle_000146	P53708	1e-14	Integrin alpha-8	GO:0045177;GO:0009986;GO:0032591;GO:0005783;GO:0005925;GO:0034678;GO:0008305;GO:0043204;GO:0005886;GO:0014069;GO:0046872;GO:0007420;GO:0030030;GO:0007160;GO:0045184;GO:0030198;GO:0042472;GO:0007229;GO:0001822;GO:0007613;GO:0048333;GO:0001656;GO:2000721;GO:0030511;GO:0016337;GO:0048745;GO:0034446	NA
Mle_000153	Q9UNW9	8e-23	RNA-binding protein Nova-2	GO:0005634;GO:0044822;GO:0003723;GO:0000398;GO:0003723;GO:0003723	PF00013;PF07650
Mle_000158	Q6NUT3	6e-104	Major facilitator superfamily domain-containing protein 12	GO:0016021;GO:0005765;GO:0006810;GO:0055085;GO:0016021	PF07690;PF07690
Mle_000159	Q9R0L6	8e-33	Pericentriolar material 1 protein	GO:0034451;GO:0005814;GO:0005813;GO:0036064;GO:0005737;GO:0016020;GO:0031965;GO:0000242;GO:0043234;GO:0051297;GO:0042384;GO:0031122;GO:0022027;GO:0035735;GO:0034453;GO:0034454;GO:0050768;GO:0001764;GO:0097150;GO:0035058;GO:0090316;GO:0071539	NA
Mle_000161	Q6GPL3	2e-123	Aurora kinase B-B	GO:0000785;GO:0005694;GO:0032133;GO:0000775;GO:0030496;GO:0005634;GO:0005524;GO:0035175;GO:0035174;GO:0046872;GO:0004674;GO:0009838;GO:0034644;GO:0036089;GO:0043987;GO:0043988;GO:0051256;GO:0002903;GO:0032466;GO:0000122;GO:0032467;GO:0034501;GO:0006468;GO:0051225;GO:0031577;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF07714;PF07714
Mle_000163	A4QN59	7e-70	Diphthamide biosynthesis protein 2	GO:0017183	NA
Mle_000168	Q5XXA6	5e-05	Anoctamin-1	GO:0016324;GO:0034707;GO:0005737;GO:0070062;GO:0005886;GO:0005227;GO:0005254;GO:0005229;GO:0015111;GO:0005247;GO:0006812;GO:0034605;GO:1902476;GO:0006821;GO:0050965;GO:0015705;GO:0034220;GO:0007275;GO:0007200;GO:0035774	NA
Mle_000170	Q9I830	9e-76	Potassium voltage-gated channel subfamily A member 2	GO:0005887;GO:0044224;GO:0008076;GO:0005251;GO:0005249;GO:0019228;GO:0071805;GO:0051260;GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0051260	PF00520;PF00520;PF00520;PF00520;PF02214
Mle_000171	Q9H9B4	4e-86	Sideroflexin-1	GO:0016021;GO:0005743;GO:0005739;GO:0015075;GO:0030218;GO:0055072;GO:0006826;GO:0015075;GO:0006811;GO:0055085;GO:0016020	PF03820;PF03820;PF03820;PF03820
Mle_000172	Q9CYL5	8e-11	Golgi-associated plant pathogenesis-related protein 1	GO:0070062;GO:0000139;GO:0042803;GO:0010634;GO:0010718;GO:0070374	NA
Mle_000175	P10394	1e-17	Retrovirus-related Pol polyprotein from transposon 412	GO:0004190;GO:0004519;GO:0003676;GO:0003964;GO:0015074;GO:0015074	PF00665
Mle_000176	Q6DGG1	4e-42	Alpha/beta hydrolase domain-containing protein 14B	GO:0005737;GO:0005829;GO:0070062;GO:0005730;GO:0016787;GO:0045944	NA
Mle_000177	Q18678	0	Probable serine--tRNA ligase, cytoplasmic	GO:0005737;GO:0005524;GO:0004828;GO:0000122;GO:0097056;GO:0006434;GO:0006412;GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0055085;GO:0016021	PF00587;PF00587;PF00587;PF00587;PF07690;PF07690
Mle_000180	P08607	1e-10	C4b-binding protein	GO:0005576;GO:0006958;GO:0045087	NA
Mle_000185	Q8NBF2	1e-106	NHL repeat-containing protein 2	NA;GO:0045454;GO:0016209;GO:0016491;GO:0055114;GO:0005515;GO:0016491	PF00085;PF00578;PF00578;PF00578;PF01436;PF08534
Mle_000187	P0AF49	9e-42	UPF0047 protein YjbQ	NA	NA
Mle_000188	Q94899	0	COP9 signalosome complex subunit 2	GO:0008180;GO:0005737;GO:0008231;GO:0016922;GO:0035257;GO:0042803;GO:0003714;GO:0010388;GO:0036099;GO:0007281;GO:0048142;GO:0048140;GO:0007095;GO:0007275;GO:0045892;GO:0022008;GO:0006909;GO:0050821;GO:0051726;GO:0005515	PF01399
Mle_000190	Q8WVQ1	1e-87	Soluble calcium-activated nucleotidase 1	GO:0005789;GO:0070062;GO:0032580;GO:0016021;GO:0005509;GO:0004382;GO:0004871;GO:0045134;GO:0043123;GO:0030166;GO:0005509;GO:0016462	PF06079;PF06079
Mle_000193	Q6NU40	3e-120	Chromosome transmission fidelity protein 18 homolog [Xenopus laevis]	GO:0005663;GO:0005634;GO:0005524;GO:0003689;GO:0007049;GO:0006260;GO:0005524;GO:0009378;GO:0006281;GO:0006310;GO:0005524;GO:0016301;GO:0005524;GO:0016887	PF00004;PF05496;PF05496;PF05496;PF06414;PF06414;PF07728;PF07728
Mle_000194	A4IGM4	1e-34	Hydroxysteroid 11-beta-dehydrogenase 1-like protein	GO:0005576;GO:0016491	NA
Mle_000197	Q9QY33	3e-13	Tetraspanin-3	GO:0070062;GO:0005887;GO:0007166;GO:0016021	PF00335
Mle_000198	Q63788	2e-15	Phosphatidylinositol 3-kinase regulatory subunit beta	GO:0005829;GO:0005634;GO:0005942;GO:0046935;GO:0001678;GO:0032869;GO:0008286;GO:0014065;GO:0046854;GO:0036092;GO:0042993;GO:0045944;GO:0015031;GO:0010506;GO:0043551;GO:0034976	NA
Mle_000199	P23506	6e-78	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	GO:0005737;GO:0004719;GO:0006479;GO:0008168;GO:0008171;GO:0008168;GO:0032259;GO:0008168;GO:0008168;GO:0008152	PF01209;PF01596;PF01728;PF01728;PF05175;PF08241;PF08241
Mle_000201	Q8K4G5	5e-11	Actin-binding LIM protein 1	GO:0015629;GO:0005737;GO:0030027;GO:0097481;GO:0001725;GO:0003779;GO:0008270;GO:0007411;GO:0042384;GO:0007010;GO:0030032;GO:0045944;GO:0008270	PF00412
Mle_000205	P84103	8e-06	Serine/arginine-rich splicing factor 3	GO:0005737;GO:0016607;GO:0005654;GO:0000166;GO:0044822;GO:0003723;GO:1990825;GO:0031124;GO:0006406;GO:0000398;GO:0048024;GO:0006405;GO:0006369;GO:0003676	PF00076
Mle_000206	Q7ZW25	2e-61	Charged multivesicular body protein 2a	GO:0031902;GO:0005635;GO:0010458;GO:0031468;GO:0015031;GO:0007034;GO:0007034	PF03357
Mle_000209	Q9SXB4	3e-12	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11300	GO:0016021;GO:0005886;GO:0009506;GO:0005524;GO:0005516;GO:0030246;GO:0004674;GO:0031625;GO:0045087;GO:0006468;GO:0048544;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF07714;PF07714
Mle_000214	P02599	7e-33	Calmodulin	GO:0000331;GO:0005737;GO:0031012;GO:0005615;GO:0005622;GO:0005634;GO:0005509;GO:0050839;GO:0019900;GO:0019901;GO:0031013;GO:0072666;GO:0000281;GO:1903665;GO:0045861;GO:0032781;GO:0051343;GO:0061122;GO:0043549;GO:0005509;GO:0005509;GO:0005509;GO:0005509;GO:0005509	PF00036;PF13202;PF13405;PF13499;PF13833
Mle_000224	Q9P2D7	0	Dynein heavy chain 1, axonemal	GO:0005858;GO:0005737;GO:0030286;GO:0036156;GO:0005874;GO:0036126;GO:0005524;GO:0016887;GO:0003777;GO:0060294;GO:0001539;GO:0003351;GO:0036159;GO:0009612;GO:0030317;GO:0005524;GO:0003723;GO:0003724;GO:0003777;GO:0007018;GO:0030286;GO:0003677;GO:0005524;GO:0016787;GO:0005524;GO:0016887	PF00004;PF00910;PF00910;PF03028;PF03028;PF03028;PF04851;PF04851;PF04851;PF07728;PF07728
Mle_000227	P28518	7e-42	DNA repair protein complementing XP-A cells homolog	GO:0000110;GO:0005634;GO:0003684;GO:0046872;GO:0006284;GO:0006289;GO:1901255;GO:0000715;GO:0033683;GO:0070914	NA
Mle_000231	Q7ZXK9	2e-58	Notchless protein homolog 1 [Xenopus laevis]	GO:0005730;GO:0007219;GO:0005515	PF00400
Mle_000233	Q5I0M0	2e-24	Histone-lysine N-methyltransferase SETMAR	GO:0005694;GO:0005634;GO:0046975;GO:0042800;GO:0008270;GO:0010452;GO:0051568;GO:0005515	PF00856
Mle_000239	Q6GPA7	6e-40	Histone deacetylase 8	GO:0005737;GO:0005634;GO:0046872;GO:0032041;GO:0006355;GO:0006351	NA
Mle_000241	Q95SX7	1e-08	Probable RNA-directed DNA polymerase from transposon BS	GO:0003964;GO:0006313	NA
Mle_000242	O94673	2e-14	Uncharacterized membrane protein C776.05	GO:0005783;GO:0005789;GO:0005794;GO:0000139;GO:0016021;GO:0022857	NA
Mle_000243	P40792	9e-100	Ras-related protein Rac1	GO:0005737;GO:0005829;GO:0019897;GO:0005886;GO:0016028;GO:0001726;GO:0005525;GO:0032794;GO:0003924;GO:0019901;GO:0030036;GO:0031532;GO:0051017;GO:0007015;GO:0032147;GO:0034334;GO:0048675;GO:0007411;GO:0016199;GO:0007413;GO:0007409;GO:0007298;GO:0035212;GO:0000902;GO:0008283;GO:0045216;GO:0006974;GO:0030866;GO:0016358;GO:0048813;GO:0071907;GO:0046843;GO:0007391;GO:0046664;GO:0007394;GO:0007395;GO:0048615;GO:0035010;GO:0042067;GO:0007164;GO:0007390;GO:0008347;GO:0008258;GO:0007516;GO:0035099;GO:0035320;GO:0002433;GO:0007254;GO:0030032;GO:0035011;GO:0008078;GO:0007017;GO:0016335;GO:0008045;GO:0016203;GO:0048747;GO:0007520;GO:0051450;GO:0010593;GO:0097206;GO:0031175;GO:0048812;GO:0007424;GO:0030707;GO:0007422;GO:0006909;GO:0045773;GO:1902669;GO:0001954;GO:0051491;GO:0071902;GO:0090303;GO:0050770;GO:0051726;GO:0048814;GO:0045610;GO:1904059;GO:0051963;GO:0050807;GO:0042052;GO:0007435;GO:0050975;GO:0007264;GO:0007426;GO:0007419;GO:0005525;GO:0005525;GO:0007264;GO:0005525;GO:0007264	PF00025;PF00071;PF00071;PF08477;PF08477
Mle_000248	P05932	4e-23	Calmodulin-beta	GO:0005509;GO:0005509;GO:0005509;GO:0007165;GO:0005578;GO:0005509;GO:0005509;GO:0005509;GO:0005509	PF00036;PF10591;PF10591;PF10591;PF13202;PF13405;PF13499;PF13833
Mle_000254	P46023	6e-06	G-protein coupled receptor GRL101	GO:0016021;GO:0005886;GO:0016500;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_000257	A0MTA1	4e-101	DNA-(apurinic or apyrimidinic site) lyase	GO:0005783;GO:0005739;GO:0016607;GO:0005730;GO:0005634;GO:0003677;GO:0003906;GO:0008311;GO:0046872;GO:0003723;GO:0006284;GO:0080111;GO:0060047;GO:0001947;GO:0043066;GO:0010628	NA
Mle_000258	Q24134	3e-04	Negative elongation factor D	GO:0032021;GO:0005634;GO:0005705;GO:0005703;GO:0008023;GO:0017053;GO:0003723;GO:0034244;GO:0007070;GO:0022008;GO:0006351;GO:0045892;GO:0005634	PF04858;PF04858
Mle_000262	P46023	9e-05	G-protein coupled receptor GRL101	GO:0016021;GO:0005886;GO:0016500	NA
Mle_000266	Q9R257	1e-08	Heme-binding protein 1	GO:0005737;GO:0005829;GO:0070062;GO:0005739;GO:0020037;GO:0042168	NA
Mle_000268	Q9LM66	1e-49	Xylem cysteine proteinase 2	GO:0005618;GO:0005615;GO:0005764;GO:0005886;GO:0004197;GO:0006952;GO:0010623;GO:0051603;GO:0008234;GO:0006508	PF00112;PF00112
Mle_000273	A4Q9E4	1e-94	Probable tubulin polyglutamylase TTLL2	GO:0005524;GO:0016874;GO:0006464;GO:0006464	PF03133
Mle_000276	Q4R4U1	0	Pantothenate kinase 4	GO:0005737;GO:0005524;GO:0004594;GO:0015937;GO:0004594;GO:0005524;GO:0015937	PF03630;PF03630;PF03630
Mle_000277	B2D0J5	2e-06	Venom carboxylesterase-6	GO:0005576;GO:0052689	NA
Mle_000279	P81187	4e-10	Complement factor B	GO:0005576;GO:0004252;GO:0006957;GO:0016021	PF00335
Mle_000283	Q9Y2U8	2e-21	Inner nuclear membrane protein Man1	GO:0016021;GO:0005639;GO:0016020;GO:0005637;GO:0003677;GO:0000166;GO:0032926;GO:0030514;GO:0030512;GO:0005639	PF09402
Mle_000286	O75197	1e-04	Low-density lipoprotein receptor-related protein 5	GO:0005783;GO:0016021;GO:0005739;GO:0005886;GO:0043235;GO:1990909;GO:1990851;GO:1904928;GO:0071936;GO:0042813;GO:0017147;GO:0060612;GO:0060033;GO:0009952;GO:1902262;GO:1904886;GO:0048539;GO:0060349;GO:0046849;GO:0060444;GO:0060070;GO:0042074;GO:0060764;GO:0042632;GO:0008203;GO:0042733;GO:0006897;GO:0035426;GO:0001702;GO:0006007;GO:0045668;GO:0071901;GO:0002076;GO:0008284;GO:0045600;GO:0002053;GO:0045840;GO:0033690;GO:0051091;GO:0045944;GO:0045893;GO:0042981;GO:0008217;GO:0046850;GO:0060828;GO:0061178;GO:0060042;GO:0061304;GO:0035019;GO:0016055;GO:0044332;GO:0005515	PF00057
Mle_000292	Q9ULT8	0	E3 ubiquitin-protein ligase HECTD1	GO:0005737;GO:0005634;GO:0016874;GO:0046872;GO:0004842;GO:0042787;GO:0005515;GO:0005515	PF00023;PF13606
Mle_000293	Q8IX30	4e-09	Signal peptide, CUB and EGF-like domain-containing protein 3	GO:0009986;GO:0005576;GO:0005509;GO:0051291;GO:0051260	NA
Mle_000295	Q9NZR2	5e-73	Low-density lipoprotein receptor-related protein 1B	GO:0016021;GO:0043235;GO:0005509;GO:0015031;GO:0006898;GO:0005515;GO:0005509	PF00057;PF07645
Mle_000298	Q0P4M4	1e-24	Cytosolic carboxypeptidase 2	GO:0005814;GO:0036064;GO:0005829;GO:0004181;GO:0008270;GO:0035610;GO:0004181;GO:0008270;GO:0006508	PF00246;PF00246;PF00246
Mle_000299	Q653P0	9e-07	Potassium channel KOR1	GO:0005887;GO:0005249;GO:0042391;GO:0005515;GO:0005515	PF00023;PF13606
Mle_000305	Q15269	0	Periodic tryptophan protein 2 homolog	GO:0005654;GO:0034388;GO:0032040;GO:0044822;GO:0030515;GO:0000462;GO:0000028;GO:0006364;GO:0005515;GO:0006364;GO:0032040	PF00400;PF08625;PF08625
Mle_000308	Q91ZR5	8e-43	Cation channel sperm-associated protein 1	GO:0036128;GO:0031514;GO:0005886;GO:0005227;GO:0005245;GO:0006816;GO:0030154;GO:0007342;GO:0086010;GO:0007275;GO:0051924;GO:0060296;GO:0030317;GO:0007283;GO:0005216;GO:0006811;GO:0055085;GO:0016020	PF00520;PF00520;PF00520;PF00520
Mle_000311	Q03719	3e-09	Potassium voltage-gated channel subfamily D member 1	GO:0030425;GO:0016021;GO:0043025;GO:0008076;GO:0005250;GO:0046872;GO:0051260;GO:0051260	PF02214
